// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 9 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/" /p:OutDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:OutputPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:PublishDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/publish/" in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1
// command took 1 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/" /p:OutDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:OutputPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:PublishDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/publish/" --output "/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1
// command took 6.78 sec and exited with 0
// ***** Done, took 00:00:07 (7.85 sec)   *****
// Found 9 benchmarks:
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]

// **************************
// Benchmark: ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
// *** Execute ***
// Launch: 1 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.Sequential(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 0 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

OverheadJitting  1: 1 op, 103458.00 ns, 103.4580 us/op
WorkloadJitting  1: 1 op, 3575333.00 ns, 3.5753 ms/op

OverheadJitting  2: 16 op, 274875.00 ns, 17.1797 us/op
WorkloadJitting  2: 16 op, 19861292.00 ns, 1.2413 ms/op

WorkloadPilot    1: 16 op, 19569459.00 ns, 1.2231 ms/op
WorkloadPilot    2: 32 op, 38154250.00 ns, 1.1923 ms/op
WorkloadPilot    3: 64 op, 74579167.00 ns, 1.1653 ms/op
WorkloadPilot    4: 128 op, 148082792.00 ns, 1.1569 ms/op
WorkloadPilot    5: 256 op, 192478541.00 ns, 751.8693 us/op
WorkloadPilot    6: 512 op, 323939541.00 ns, 632.6944 us/op
WorkloadPilot    7: 1024 op, 641972208.00 ns, 626.9260 us/op

OverheadWarmup   1: 1024 op, 3541.00 ns, 3.4580 ns/op
OverheadWarmup   2: 1024 op, 2709.00 ns, 2.6455 ns/op
OverheadWarmup   3: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadWarmup   4: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadWarmup   5: 1024 op, 2291.00 ns, 2.2373 ns/op
OverheadWarmup   6: 1024 op, 2625.00 ns, 2.5635 ns/op
OverheadWarmup   7: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadWarmup   8: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadWarmup   9: 1024 op, 2250.00 ns, 2.1973 ns/op

OverheadActual   1: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual   2: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual   3: 1024 op, 2541.00 ns, 2.4814 ns/op
OverheadActual   4: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadActual   5: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadActual   6: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual   7: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual   8: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual   9: 1024 op, 2459.00 ns, 2.4014 ns/op
OverheadActual  10: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual  11: 1024 op, 2209.00 ns, 2.1572 ns/op
OverheadActual  12: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  13: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  14: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  15: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  16: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  17: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  18: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadActual  19: 1024 op, 2333.00 ns, 2.2783 ns/op
OverheadActual  20: 1024 op, 2208.00 ns, 2.1563 ns/op

WorkloadWarmup   1: 1024 op, 643576000.00 ns, 628.4922 us/op
WorkloadWarmup   2: 1024 op, 640848500.00 ns, 625.8286 us/op
WorkloadWarmup   3: 1024 op, 651795958.00 ns, 636.5195 us/op
WorkloadWarmup   4: 1024 op, 640709625.00 ns, 625.6930 us/op
WorkloadWarmup   5: 1024 op, 648929500.00 ns, 633.7202 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 643444125.00 ns, 628.3634 us/op
WorkloadActual   2: 1024 op, 637841250.00 ns, 622.8918 us/op
WorkloadActual   3: 1024 op, 636567375.00 ns, 621.6478 us/op
WorkloadActual   4: 1024 op, 637269792.00 ns, 622.3338 us/op
WorkloadActual   5: 1024 op, 637372625.00 ns, 622.4342 us/op
WorkloadActual   6: 1024 op, 637099541.00 ns, 622.1675 us/op
WorkloadActual   7: 1024 op, 650599375.00 ns, 635.3510 us/op
WorkloadActual   8: 1024 op, 637793459.00 ns, 622.8452 us/op
WorkloadActual   9: 1024 op, 637333292.00 ns, 622.3958 us/op
WorkloadActual  10: 1024 op, 638719416.00 ns, 623.7494 us/op
WorkloadActual  11: 1024 op, 637996500.00 ns, 623.0435 us/op
WorkloadActual  12: 1024 op, 639319916.00 ns, 624.3359 us/op
WorkloadActual  13: 1024 op, 732918708.00 ns, 715.7409 us/op
WorkloadActual  14: 1024 op, 643074500.00 ns, 628.0024 us/op
WorkloadActual  15: 1024 op, 640448083.00 ns, 625.4376 us/op

// AfterActualRun
